id_str,user_name,text,hashtags,created,user_followers,user_friends,user_favorites,expanded_url,user_description,user_created,user_location,source,usr_mentions
1363322557118570496,allinwithchris,"“Did AOC, 10 years ago at the tender age of 21, parachute into the state of Texas to put up windmills under cover of night?” says Hayes of the GOP blaming power crisis on “green energy,” despite holding ""nearly every statewide office in Texas for decades."" https://t.co/XKEtt3bmin",,2021-02-21T03:00:01,401228,846,794,https://twitter.com/i/web/status/1363322557118570496,@chrislhayes hosts the Emmy Award-winning “All In” weeknights at 8 p.m. ET on @MSNBC. Follow the conversation along with other #inners.,2013-03-21T15:59:46,,TweetDeck,
1362862496067952643,KurtSchlichter,RT @ThePeoplesCube: BREAKING: Biden administration sends emergency wind turbines to help fight #TexasBlackout,TexasBlackout,2021-02-19T20:31:54,291341,2319,1619,,Free speech absolutist | Loud + Proud Conservative | 💥 CRISIS (Kelly Turnbull 5) http://amzn.to/3fjvoFT | Sr Columnist @Townhallcom | Lawyer | Army COL(R),2008-12-13T00:09:25,Manhattan Beach CA,Twitter Web App,
1363330627991343104,TrueFactsStated,"RT @DrEricDing:Let this sink in—Congresswoman @AOC from Bronx &amp; Queens raised over $4 million for people suffering in Texas.

While Ted Cruz went to Cancun, Rick Perry &amp; others blamed wind power that’s &lt;12% of actual shortage.

➡️Donate to help Texas—let’s keep it going! https://t.co/cMe9wtKnaI",,2021-02-21T03:32:05,226652,4300,252411,,"Chair of Mad Dog Pac. Worked in Clinton White House. I do billboards, PPE and will judge your room. http://MadDogPAC.com",2014-11-23T23:31:32,DC and on the road. ,Twitter for iPhone,"DrEricDing,AOC"
1363336464503816194,PsychicHealerC,"RT @DrEricDing:What sent Texas reeling is not an engineering problem, nor frozen wind turbines. It is a structure that offers no incentives to prepare for winter. In the name of deregulation and free markets— electric grid that puts cheap prices over reliable service. 🧵
https://t.co/KrcC8fJr5M https://t.co/MEsQLWohW5",,2021-02-21T03:55:17,142051,149845,337588,,"Mom, #Life, Steeler's, Writer, Psychic LifeCoach, #BusinessCoach Anon, #Resist #autismmom #antibullying  #daughterofvietnamvet 01/09/21😭",2011-07-29T10:42:09,"Ohio, USA",Twitter for Android,DrEricDing
1362861852619726848,nomadicmatt,We don’t have drinkable water in Texas but we can listen to wind from another planet! Ohh what a time to be alive! https://t.co/3tHTUbg5YU,,2021-02-19T20:29:21,120502,1233,605,,NYT best selling author of How to Travel the World on $50 a Day and Ten Years a Nomad. I help people travel more for less. Text me! +1 (617) 284-0863,2008-10-04T06:27:54,Around the World,Twitter for iPhone,
1363310356647407618,Acyn,"“Maybe the energy wizards like AOC would like to come to Texas to give a briefing on the feasibility of green energy in Texas. But the problem in Texas is not all about the windmills, it’s about their energy grid...” https://t.co/a2Wosh15Bl",,2021-02-21T02:11:32,117474,6321,499571,https://twitter.com/i/web/status/1363310356647407618,Internet Hooligan...,2008-10-07T19:37:09,"Los Angeles, California",Twitter for iPhone,
1363332544993783810,DrGJackBrown,"RT @DrEricDing:Let this sink in—Congresswoman @AOC from Bronx &amp; Queens raised over $4 million for people suffering in Texas.

While Ted Cruz went to Cancun, Rick Perry &amp; others blamed wind power that’s &lt;12% of actual shortage.

➡️Donate to help Texas—let’s keep it going! https://t.co/cMe9wtKnaI https://t.co/LJzHDcEAdd",,2021-02-21T03:39:42,112014,16067,95628,,"Body Language & Emotional Intelligence Expert, Speaker, Physician, Lecturer, RT≠endorsement, No Lists, #LGBTQAally, #BLM, #ClimateCrisis • https://t.co/Y5YS950pNY",2010-11-06T02:51:17,United States,Twitter Web App,"DrEricDing,AOC"
1362880765055369216,WSJopinion,"The wind industry is spinning a fable that gas, coal and nuclear plants—not their frozen turbines—are to blame for… https://t.co/RkvYC2iZtl",,2021-02-19T21:44:30,108213,146,106,https://twitter.com/i/web/status/1362880765055369216,Opinion & Commentary from The Wall Street Journal.,2007-07-03T13:39:08,New York,SocialFlow,
1363327936548405250,JRehling,"RT @DrEricDing:Let this sink in—Congresswoman @AOC from Bronx &amp; Queens raised over $4 million for people suffering in Texas.

While Ted Cruz went to Cancun, Rick Perry &amp; others blamed wind power that’s &lt;12% of actual shortage.

➡️Donate to help Texas—let’s keep it going! https://t.co/cMe9wtKnaI https://t.co/LJzHDcEAdd",,2021-02-21T03:21:24,105696,48256,215909,,"Every society honors its live conformists and its dead troublemakers.
-Mignon McLaughlin",2008-07-11T00:01:29,Δx Δp ≥ ħ/2,Twitter Web App,"DrEricDing,AOC"
1362864008106299399,Solmemes1,RT @ThePeoplesCube: BREAKING: Biden administration sends emergency wind turbines to help fight #TexasBlackout,TexasBlackout,2021-02-19T20:37:54,96507,21649,313690,,"Sol of the House MAGAryean, 1st of Her Name, Queen of Memeem, Kekleesi of the Great Twitter, Lady Regent of the 7 Memedoms, Breaker of Karens & Memer of Libs",2018-05-18T15:45:38,Mirror World,Twitter for Android,
1363330102113619970,RealAmVoice,"""Hoping [the windmill] would turn, hoping it would keep families alive, all a complete failure.""

@stevegrubershow talks about how the Green Energy initiative has played a huge role in making the winter storm in Texas a much greater disaster than it should be. https://t.co/yypu7sihpd",,2021-02-21T03:30:00,80415,865,1673,https://twitter.com/i/web/status/1363330102113619970,Delivering news programs and live-event coverage that capture the authentic voice and passion of real people all across America. Real news. Honest Views.,2017-11-29T18:43:33,13276 East Freemont Place Cent,Twitter Media Studio,stevegrubershow
1363334533018509313,DaltonRoad,"RT @DrEricDing:Let this sink in—Congresswoman @AOC from Bronx &amp; Queens raised over $4 million for people suffering in Texas.

While Ted Cruz went to Cancun, Rick Perry &amp; others blamed wind power that’s &lt;12% of actual shortage.

➡️Donate to help Texas—let’s keep it going! https://t.co/cMe9wtKnaI",,2021-02-21T03:47:36,62195,66914,25030,,"Dalton Road Media. On-Line TV, Radio entertainment production house, social media consultant",2009-02-23T20:38:25,USA,Twitter for iPhone,"DrEricDing,AOC"
1363316085789847555,mr_internet,Don't forget frozen windmills kill unicorns - https://t.co/NVzn1ytLbj,,2021-02-21T02:34:18,59619,4020,7331,,"Bunerong Land, Tech Evangelist, Labor Voter, Law Reform Consultant, MMA Judo Guy, Foodie, Designer, Alleged Social Media Influencer",2008-03-23T02:57:55,"Melboure via Texas, Cali & UK ",Twitter Web App,
1363341818470035456,BigJoeBastardi,"Being old, working the great Texas freezes of the 1980s,  knowing how to compare it the most extreme event on record, 1899, all were meant to make this stand out beyond the idea there would be sub zero wind chills, etc.  this was a week before. YOu cant get any more extreme",,2021-02-21T04:16:33,56135,814,1403,https://twitter.com/i/web/status/1363341818470035456,Lost in the Flood cousin of Jimmy the Saint.Riding headfirst into a hurricane and disappearing into a point. Opinions my own. Jessie is great: Indisputable,2010-05-29T02:05:48,"Boalsburg, Pa",Twitter Web App,
1363340960772591619,BigJoeBastardi,"Being old, working the great Texas freezes of the 1980s,  knowing how to compare it the most extreme event on record, 1899, all were meant to make this stand out beyond the idea there would be sub zero wind chills, etc.  this was a week before. YOu can get any more extreme",,2021-02-21T04:13:09,56134,814,1403,https://twitter.com/i/web/status/1363340960772591619,Lost in the Flood cousin of Jimmy the Saint.Riding headfirst into a hurricane and disappearing into a point. Opinions my own. Jessie is great: Indisputable,2010-05-29T02:05:48,"Boalsburg, Pa",Twitter Web App,
1363315434112516102,KathyBrownKathy,RT @rgoodlaw:The lawyers for the wind turbine companies should mebbe call up the lawyers for Dominion Voting Machines to discuss how to handle this organized lying on the part of Fox.,,2021-02-21T02:31:43,49595,47867,283148,,#Resist #TrumpRICO #FuckTrump #KathyBrownEvents #Genealogy #Marketing #RealityTV #NFL #Realtor #Golf #PlayboyModel http://www.linkedin.com/in/kathybrownmodel/,2009-10-10T22:38:08,"California,USA",Twitter for iPhone,rgoodlaw
1362855611105443845,ericcrawford,@dpoppell @eburn40oz You believe the wind turbine causing the Texas outage myth when less than 10% of Texas energy… https://t.co/zKRs9tQ3Qb,,2021-02-19T20:04:32,46273,3590,1057,https://twitter.com/i/web/status/1362855611105443845,Sports journalist for WDRB in Louisville.,2007-08-05T14:52:17,"Louisville, Ky., USA",Twitter for iPad,
